"Time","Frequency (Hz)","Level (dBm)","Level_1 (dBm)","Level_2 (dBm)","Level_3 (dBm)","Value Count","File Info"
"8/8/2021  20:10:00,000","  2125100000","-100,8","   6,3","-129,0"," -87,1","136",
"8/8/2021  20:10:00,000","  2125200000"," -92,1","   6,9","-123,4"," -78,5","136",
"8/8/2021  20:10:00,000","  2125300000"," -86,8","   6,3","-101,9"," -74,7","136",
"8/8/2021  20:10:00,000","  2125400000"," -83,9","   6,5","-104,8"," -69,9","136",
"8/8/2021  20:10:00,000","  2125500000"," -82,6","   7,3","-109,6"," -68,9","136",
"8/8/2021  20:10:00,000","  2125600000"," -80,5","   6,3"," -98,4"," -66,6","136",
"8/8/2021  20:10:00,000","  2125700000"," -79,3","   6,7","-101,5"," -65,6","136",
"8/8/2021  20:10:00,000","  2125800000"," -78,5","   7,0","-100,9"," -65,1","136",
"8/8/2021  20:10:00,000","  2125900000"," -78,2","   6,1"," -99,9"," -64,2","136",
"8/8/2021  20:10:00,000","  2126000000"," -78,9","   6,5","-104,5"," -64,0","136",
"8/8/2021  20:10:00,000","  2126100000"," -78,7","   6,6","-100,1"," -63,8","136",
"8/8/2021  20:10:00,000","  2126200000"," -78,0","   6,5"," -99,4"," -64,3","136",
"8/8/2021  20:10:00,000","  2126300000"," -77,5","   6,3","-100,6"," -63,7","136",
"8/8/2021  20:10:00,000","  2126400000"," -77,9","   6,8","-101,2"," -61,8","136",
"8/8/2021  20:10:00,000","  2126500000"," -78,4","   6,6","-106,7"," -64,1","136",
"8/8/2021  20:10:00,000","  2126600000"," -79,4","   7,5","-105,5"," -66,2","136",
"8/8/2021  20:10:00,000","  2126700000"," -79,4","   6,4","-101,0"," -66,0","136",
"8/8/2021  20:10:00,000","  2126800000"," -79,2","   6,3"," -97,5"," -65,0","136",
"8/8/2021  20:10:00,000","  2126900000"," -79,5","   6,7","-109,9"," -66,0","136",
"8/8/2021  20:10:00,000","  2127000000"," -79,7","   6,5","-103,0"," -64,6","136",
"8/8/2021  20:10:00,000","  2127100000"," -78,9","   6,5"," -96,7"," -64,3","136",
"8/8/2021  20:10:00,000","  2127200000"," -78,0","   6,7"," -95,0"," -63,1","136",
"8/8/2021  20:10:00,000","  2127300000"," -78,2","   7,4","-107,3"," -64,0","136",
"8/8/2021  20:10:00,000","  2127400000"," -78,9","   7,2","-108,4"," -66,0","136",
"8/8/2021  20:10:00,000","  2127500000"," -79,5","   6,9","-105,8"," -66,4","136",
"8/8/2021  20:10:00,000","  2127600000"," -78,7","   6,3"," -96,8"," -64,6","136",
"8/8/2021  20:10:00,000","  2127700000"," -78,2","   6,6"," -96,6"," -65,2","136",
"8/8/2021  20:10:00,000","  2127800000"," -78,8","   7,4","-105,5"," -65,9","136",
"8/8/2021  20:10:00,000","  2127900000"," -78,5","   6,3"," -99,1"," -65,2","136",
"8/8/2021  20:10:00,000","  2128000000"," -79,1","   6,6"," -99,7"," -65,6","136",
"8/8/2021  20:10:00,000","  2128100000"," -78,9","   7,1","-111,4"," -66,4","136",
"8/8/2021  20:10:00,000","  2128200000"," -78,2","   6,1"," -96,2"," -66,0","136",
"8/8/2021  20:10:00,000","  2128300000"," -78,6","   7,2","-103,3"," -65,6","136",
"8/8/2021  20:10:00,000","  2128400000"," -78,8","   6,7","-101,0"," -65,2","136",
"8/8/2021  20:10:00,000","  2128500000"," -78,7","   6,7"," -95,3"," -66,2","136",
"8/8/2021  20:10:00,000","  2128600000"," -77,9","   6,4"," -94,4"," -64,4","136",
